Page Count, Touch Count, Fault Count, Extra Faults
2048, 1, 1, 0
2048, 2, 2, 0
2048, 3, 3, 0
2048, 4, 4, 0
2048, 5, 5, 0
2048, 6, 6, 0
2048, 7, 7, 0
2048, 8, 8, 0
2048, 9, 9, 0
2048, 10, 10, 0
2048, 11, 11, 0
2048, 12, 12, 0
2048, 13, 13, 0
2048, 14, 14, 0
2048, 15, 15, 0
2048, 16, 16, 0
2048, 17, 17, 0
2048, 18, 18, 0
2048, 19, 19, 0
2048, 20, 20, 0
2048, 21, 21, 0
2048, 22, 22, 0
2048, 23, 23, 0
2048, 24, 24, 0
2048, 25, 25, 0
2048, 26, 26, 0
2048, 27, 27, 0
2048, 28, 28, 0
2048, 29, 29, 0
2048, 30, 30, 0
2048, 31, 31, 0
2048, 32, 32, 0
2048, 33, 33, 0
2048, 34, 34, 0
2048, 35, 35, 0
2048, 36, 36, 0
2048, 37, 37, 0
2048, 38, 38, 0
2048, 39, 39, 0
2048, 40, 40, 0
2048, 41, 41, 0
2048, 42, 42, 0
2048, 43, 43, 0
2048, 44, 44, 0
2048, 45, 45, 0
2048, 46, 46, 0
2048, 47, 47, 0
2048, 48, 48, 0
2048, 49, 49, 0
2048, 50, 50, 0
2048, 51, 51, 0
2048, 52, 52, 0
2048, 53, 53, 0
2048, 54, 54, 0
2048, 55, 55, 0
2048, 56, 56, 0
2048, 57, 57, 0
2048, 58, 58, 0
2048, 59, 59, 0
2048, 60, 60, 0
2048, 61, 61, 0
2048, 62, 62, 0
2048, 63, 63, 0
2048, 64, 64, 0
2048, 65, 65, 0
2048, 66, 66, 0
2048, 67, 67, 0
2048, 68, 68, 0
2048, 69, 69, 0
2048, 70, 70, 0
2048, 71, 71, 0
2048, 72, 72, 0
2048, 73, 73, 0
2048, 74, 74, 0
2048, 75, 75, 0
2048, 76, 76, 0
2048, 77, 77, 0
2048, 78, 78, 0
2048, 79, 79, 0
2048, 80, 80, 0
2048, 81, 81, 0
2048, 82, 82, 0
2048, 83, 83, 0
2048, 84, 84, 0
2048, 85, 85, 0
2048, 86, 86, 0
2048, 87, 87, 0
2048, 88, 88, 0
2048, 89, 89, 0
2048, 90, 90, 0
2048, 91, 91, 0
2048, 92, 92, 0
2048, 93, 93, 0
2048, 94, 94, 0
2048, 95, 95, 0
2048, 96, 96, 0
2048, 97, 97, 0
2048, 98, 98, 0
2048, 99, 99, 0
2048, 100, 100, 0
2048, 101, 101, 0
2048, 102, 102, 0
2048, 103, 103, 0
2048, 104, 104, 0
2048, 105, 105, 0
2048, 106, 106, 0
2048, 107, 107, 0
2048, 108, 108, 0
2048, 109, 109, 0
2048, 110, 110, 0
2048, 111, 111, 0
2048, 112, 112, 0
2048, 113, 113, 0
2048, 114, 114, 0
2048, 115, 115, 0
2048, 116, 116, 0
2048, 117, 117, 0
2048, 118, 118, 0
2048, 119, 119, 0
2048, 120, 120, 0
2048, 121, 121, 0
2048, 122, 122, 0
2048, 123, 123, 0
2048, 124, 124, 0
2048, 125, 125, 0
2048, 126, 126, 0
2048, 127, 127, 0
2048, 128, 128, 0
2048, 129, 129, 0
2048, 130, 130, 0
2048, 131, 131, 0
2048, 132, 132, 0
2048, 133, 133, 0
2048, 134, 134, 0
2048, 135, 135, 0
2048, 136, 136, 0
2048, 137, 137, 0
2048, 138, 138, 0
2048, 139, 139, 0
2048, 140, 140, 0
2048, 141, 141, 0
2048, 142, 142, 0
2048, 143, 143, 0
2048, 144, 144, 0
2048, 145, 145, 0
2048, 146, 146, 0
2048, 147, 147, 0
2048, 148, 148, 0
2048, 149, 149, 0
2048, 150, 150, 0
2048, 151, 151, 0
2048, 152, 152, 0
2048, 153, 153, 0
2048, 154, 154, 0
2048, 155, 155, 0
2048, 156, 156, 0
2048, 157, 157, 0
2048, 158, 158, 0
2048, 159, 159, 0
2048, 160, 160, 0
2048, 161, 161, 0
2048, 162, 162, 0
2048, 163, 163, 0
2048, 164, 164, 0
2048, 165, 165, 0
2048, 166, 166, 0
2048, 167, 167, 0
2048, 168, 168, 0
